NAY,南苑机场
DIL,科摩罗机场
DJB, 苏丹塔哈挽斯亚里弗德恩机场
DLH,德卢斯国际机场
DLI,连科杭机场
DOM,麦尔维尔哈尔机场
DPO,德文波特机场 
EAM,内奇兰机场
EAR,卡尼机场
EAT,庞伯恩机场
EAU,欧克莱尔机场
ELM,埃尔迈拉地区机场
MLM,莫雷利亚机场
MMB,女满别机场
MMK,摩尔曼斯克机场
MOB,莫比尔地方机场
MOL,阿洛机场 
MQX,默克莱机场
MRY,蒙特雷半岛机场
MSJ,三泽机场
MSL,马斯克尔肖尔斯机场
MSO,约翰逊贝尔机场
MTT,米纳蒂特兰
MWZ,姆万扎机场
MXL,墨西卡利机场
MYD,马林迪机场
MYR,默特尔比奇空军基地
MZG,马公机场  
MZT,拉法尔布埃尔纳将军机场
NAG,索内加昂机场
NCP,库比皮特海空军机场
CRK,克拉克机场
NLA,恩多拉机场
NLD,奎特扎尔克特尔国际机场
NPE,豪客斯贝机场
NRK,库恩桑根机场
OAJ,阿尔伯特－埃利斯机场
OAX,肖肖克特兰机场
ORN,埃斯塞尼阿机场
OSD,弗洛埃索厄机场
OUA,瓦加杜古机场
PAH,巴克雷地区机场
PAT,巴特纳机场
PAZ,塔金机场
PBD,博尔本德尔机场
ECP,西北佛罗里达海滩国际机场
PGV,皮特挽格林维尔机场   
PHE,黑德兰港机场
PHF,威廉姆斯堡机场
PIH,波卡特咯机场
PKR,博克拉机场
PKU,希姆庞提加机场
PLQ,帕兰加国际机场  
PMR,帕默斯顿北机场
PNA,潘普洛拉机场
PNI,波恩佩机场
PNR,黑角机场
POA,萨尔加多－费尔霍机场
POR,波里机场 
POS,皮阿尔科机场
PPT,法阿机场
PQC,杜恩当机场
PSC, 特里希提斯机场 
PSE,梅塞迪塔机场
PTP,勒莱泽特机场
PUJ,蓬塔卡纳机场
PUW,莫斯科地区机场
PVR,奥达兹
PWQ,巴甫洛达尔机场
PXU,波来古机场
QRO,奎雷塔罗机场
RAJ,民航机场
RAP,拉皮德城地区机场
RAR,拉罗汤加岛机场
RDD,雷丁机场
RDM,罗伯茨机场
REX,根卢西奥－布兰科机场
ROK,罗克汉普顿机场
ROR,埃莱机场
RPR,赖布尔机场
RST,罗切斯特地方机场
RUN,吉罗特机场
RXS,罗哈斯城机场
RZE,加西翁卡机场
SAF,圣菲机场
SAL,科马拉帕国际机场
SAP,拉蒙维勒达－莫拉尔斯
SCN,恩施埃姆机场
SDL,松兹瓦尔机场
SDQ,拉斯阿美利加斯机场
SGD,森讷堡机场
SHB,根室中标津机场
SHD,谢南多阿瓦雷机场
SJD,圣约瑟卡博机场
SKB,戈尔登罗克机场 
SLL,塞拉莱机场
SLP,圣路易斯波托西机场
SLW,萨尔蒂洛机场
SMX,圣玛丽亚公共机场
SRQ, 不拉登顿机场   
VVI,比鲁比鲁国际机场
STT,塞里尔金机场
STX,亚历山大挽汉密尔顿机场 
SUF,尤费米亚机场  
SUX,苏城门户机场
SVL,萨翁林纳机场
SXM,朱利亚纳王子机场
SYO,庄内机场
SYZ,设拉子机场
TAC,罗姆阿尔德兹机场
TAG,塔比拉兰机场
TAK,高松机场  
TAM,根雅维尔米纳机场
TAP,塔帕丘拉国际机场
TBZ,大不里士机场 
TET,马通多机场
TGZ,拉诺圣胡安机场
TIU,蒂马鲁机场  
TKG,布兰提机场
TKK,特鲁克机场
TRC,托雷翁机场
TRG,陶朗阿机场
TRI,布里斯托尔机场
TRZ,民航机场
TUP,莱蒙斯地方机场
TVF,希弗里弗福斯地区机场
TYR,庞兹机场
UBP,穆昂乌本机场
GTR,金三角地区机场
UDR,达博克机场
UIH,归仁机场
UKK,乌斯季卡缅诺戈尔斯克
UME,于默奥机场
UPG,哈萨努丁机场
VER,拉斯巴贾达斯机场
VFA,维多利亚瀑布城机场
VII,荣市机场
VIX,尤里克塞尔斯机场
VKG,拉奇吉亚机场
VPS,瓦尔顿堡比齐机场
VTZ,维沙卡帕特南机场
WAG,旺阿努伊机场
WGA,佛雷斯特希尔机场
WHK,瓦卡塔尼机场
WKA,瓦纳卡机场
WRE,旺阿雷机场
WVB,卢伊科普机场
WYS,西黄石机场
YDF,迪尔莱克机场
YGJ,美秀机场
YMM,麦克默里堡机场
YNY,襄阳机场
YQQ,科莫克斯机场
YQU,大草原城机场
YUM,尤马国际机场
HAH,莫罗尼国际机场
YXC,克兰布鲁克机场
YXH,梅迪辛哈特机场
YXS,乔治王子城机场
YYB,诺斯贝机场
YZR,萨尼亚机场 
ZCL,拉卡勒拉机场
ZSE,圣皮埃尔挽德拉瑞乌尼翁机场
ABI,阿比林地方机场
ABR,阿伯丁地方机场
ACT,韦科地方机场
ADF,阿德亚曼机场
AES,维格拉机场
AEX,亚历山德里亚国际机场
AGU,阿瓜斯卡连特斯机场
EXT,埃克塞特机场
FAT,弗雷斯诺机场
FCA,格雷希尔国际公园机场
FLN,弗洛里亚诺布里斯机场
FNT,毕晓普机场
FOR,平托马丁斯机场
FPO,格兰德巴哈马国际机场
FSD,苏福尔斯地区机场
FSM,史密斯堡地方机场
GAJ,顺町机场
GAU,博尔哈机场
GCM,欧文挽罗伯茨国际机场
GEO,切蒂加干国际机场
GFK,大福克斯机场
GIS,吉斯伯恩机场
GJT,大章克申机场
GND,波因特萨莱恩国际机场
GNV,盖恩斯维尔地区机场
GRB,奥斯丁－斯特劳贝尔机
GTF,大瀑布村国际机场 
HDS,荷兹普鲁伊特机场 
HER,卡赞查基斯机场
HIB,奇绍尔姆机场
HIN,蛇川机场
HLZ,哈密尔顿机场
HMO,根珀斯克拉挽加西亚
HPH,卡特比机场
HRL,瓦雷国际机场       
HTI,哈密尔顿岛机场
HUN,花莲机场
HUX,瓦图尔科机场
HVN,纽黑文机场
ZVE,纽黑文火车站
HYS,海斯地方机场
IDA,凡宁机场
IDR,印多尔机场
GRK,格雷军用机场
ILM,新汉诺威郡机场
ILO,曼德里奥机场
ITH,汤普金斯郡机场
ITO,希罗机场
IVC,因弗卡吉尔机场
IXC,钱迪加机场
IXE,巴吉佩机场
IXM,马杜赖机场
IXR,兰契机场
IXU,奇卡尔萨纳机场
IZO,出云机场
JDH,焦特布尔机场
JGA,格瓦德汉珀尔机场
JMK,米克诺斯机场
JST,坎布里亚郡机场
JTR,锡拉机场
JUB,朱巴机场
KDI,沃尔特挽蒙金西迪机场
KGI,卡尔古利机场
KIM,金伯利机场    
KKN,霍布克特莫恩机场
KRN,基律纳机场
KSU,科维恩伯格特机场
KTA,卡拉萨机场
KZO,克孜勒奥尔达机场
LBB,拉伯克国际机场
LCH,莱克查尔斯地方机场
LGB,长滩地方机场
LGP,莱加斯皮机场
LIH,考爱岛机场
LKO,阿茅西机场
LLA,卡拉克斯机场  
LMM,费德拉尔机场
LPQ,朗勃拉邦机场
LVI,利文斯敦机场
LWB,格林布里尔瓦雷机场 
LWS,内兹帕斯郡地区机场
LYH,普雷斯顿－格伦机场
MAJ,阿马塔卡布阿国际机场
MAM,马塔莫罗斯机场 
MAZ,尤格尼奥挽德霍斯托斯机场
MBE,鄂霍次克机场
MBJ,桑斯特国际机场
MDE,约瑟马里挽考德瓦机场
MED,穆罕默德 挽本阿布杜拉齐兹机场
MFR,杰克逊郡机场
MGW,摩根敦机场
MHK,曼格顿地方机场
MID,雷约恩机场
AMI,塞拉帕朗机场
CAC,基督城机场
CFR,卡恩机场
CHC,克赖斯特彻奇机场
GSO,PIEDMONTTRIAD
KEM,克米机场
NAW,奈良机场
NKC,努瓦克肖特机场
SCO,阿克套机场
MQP,克鲁格尔－普马兰加国
FLG,普里阿姆机场
OZC,拉波机场
EUM,新明斯特机场
YUS,玉树巴塘机场
NQI,海空军机场
STP,圣保罗市区机场
JPD,帕萨迪纳直升机机场
ZQN,弗兰克敦机场
BZV,马亚马亚机场
TBS,新阿里克塞耶夫卡机场
SKP,斯科普里
YBG,巴戈特维尔机场
ERL,赛乌苏国际机场
YSJ,圣约翰机场
HHH,希尔顿黑德机场
FAB,法恩伯勒机场
SIP,辛菲罗波尔机场
LBD,库德贾德机场
PSP,帕姆斯普林斯地方机场
KFG,卡尔库龙机场
JIQ,重庆黔江舟白机场
YCG,卡斯尔加机场
CAH,金瓯机场
GAN,甘/希努岛机场
DRT,德尔里奥国际机场
NAV,内夫谢希尔机场
TBB,宣化机场
DED,台拉登机场
YAM,苏圣玛丽机场  
VDH,洞海机场
STS,索诺马郡机场
NTQ,诺特机场
